VideoID,Title,Channel,PublishDate,URL,Views,Likes,Comments,Duration_sec
Xezu93IzNic,Mayer Songshar | Full Drama | মায়ের সংসার | Sabuj Ahmed | Saba Susmita | Reejvina |Bangla Natok 2025,CD Choice Entertainment,2025-12-04T09:00:07Z,https://youtube.com/watch?v=Xezu93IzNic,964760,6120,122,2212.0
8oYcj-yn3GU,New Natok 2025 Full |Niloy Alomgir Heme |বাংলা নাটক শহরের মেয়ে যখন গ্রামের বউ হয় 4 নিলয় হিমি |bang,বিডি কাউয়া টিভি,2025-08-07T09:11:08Z,https://youtube.com/watch?v=8oYcj-yn3GU,3392609,5478,102,3683.0
Z5DuwgQDVzY,পরকীয়া প্রেমিক | Apurbo | Mehejabin | Aporbo New Natok 2025 | Mehejabin New Natok | Bangla New Natok,Etim Drama,2025-11-20T11:01:11Z,https://youtube.com/watch?v=Z5DuwgQDVzY,930753,3575,92,2104.0
QW1V6i26UzA,সন্তান চাই | Prank King | Miraz Khan | Ananna Islam | Lamha Ansu | Jamrul Razu | Bangla Natok 2025,Rtv Drama,2025-12-24T09:00:48Z,https://youtube.com/watch?v=QW1V6i26UzA,11615535,80807,3290,2600.0
BO3mBsEsISc,Dulabhai Hotline | দুলাভাই হটলাইন | Full Natok | Mosharraf Karim | Sumona | New Bangla Natok 2025,Big City Drama,2025-10-31T10:56:40Z,https://youtube.com/watch?v=BO3mBsEsISc,2218969,17730,486,2739.0
KGDo9XlxqDE,অশান্তির সংসার | Oshantir Songshar | Bangla Natok | Tonmoy Sohe | Mihi Ahsan  |  | New Natok 2025,VTv Entertainment,2025-12-09T10:00:38Z,https://youtube.com/watch?v=KGDo9XlxqDE,844112,2461,30,2304.0
typojBzVWwI,বলোনা ভালোবাসি | Bolona Valobashi | Farhan Ahmed Jovan | Tasnia Farin | Bangla New Natok 2025,Durbeen TV,2025-11-18T09:15:06Z,https://youtube.com/watch?v=typojBzVWwI,3644372,16106,286,3767.0
WYqS1xTr4-E,Kufri 2 | কুফরি ২ |  Iftekhar Ifti | Tasnova Nijhum | Megh heem | New Bangla Natok 2026,Doyel Studio,2026-02-05T09:10:03Z,https://youtube.com/watch?v=WYqS1xTr4-E,1020545,15612,628,3080.0
yslHqyzGwoQ,Vat De | ভাত দে | Full Drama|Sabuj Ahmed|Tasnova Nijhum |Bangla New Natok 2025 |Bd Drama| Plus Media,Plus Media,2025-11-27T09:01:45Z,https://youtube.com/watch?v=yslHqyzGwoQ,3506513,12661,675,2387.0
rbdj9WzVM0Q,Hridoy Gohine 💖 হৃদয় গহীনে | Full Drama | Apurbo | Mehazabien Chowdhury | New Bangla Natok,Light & Shadow ,2025-10-20T08:01:03Z,https://youtube.com/watch?v=rbdj9WzVM0Q,1419785,5830,148,3761.0
